Frontal_logbp_delta,Frontal_relbp_delta,Frontal_logbp_theta,Frontal_relbp_theta,Frontal_logbp_alpha,Frontal_relbp_alpha,Frontal_logbp_beta,Frontal_relbp_beta,Frontal_theta_beta,Frontal_alpha_theta,Central_logbp_delta,Central_relbp_delta,Central_logbp_theta,Central_relbp_theta,Central_logbp_alpha,Central_relbp_alpha,Central_logbp_beta,Central_relbp_beta,Central_theta_beta,Central_alpha_theta,Parietal_logbp_delta,Parietal_relbp_delta,Parietal_logbp_theta,Parietal_relbp_theta,Parietal_logbp_alpha,Parietal_relbp_alpha,Parietal_logbp_beta,Parietal_relbp_beta,Parietal_theta_beta,Parietal_alpha_theta,Occipital_logbp_delta,Occipital_relbp_delta,Occipital_logbp_theta,Occipital_relbp_theta,Occipital_logbp_alpha,Occipital_relbp_alpha,Occipital_logbp_beta,Occipital_relbp_beta,Occipital_theta_beta,Occipital_alpha_theta,label,subject
-22.79711906074736,0.12022397325175818,-22.76884889525327,0.13708438495148667,-22.725514160002177,0.1638726321390069,-22.840270677979888,0.09538994958768103,0.2434119655457392,0.27092075595125675,-22.818239846039393,0.1333994905064739,-22.894073955956813,0.08143488780246205,-22.8372274166276,0.12001632180129415,-22.879212323109254,0.09131062393557125,0.121642233823154,0.181956897112874,-22.884724229940872,0.08519889290751204,-22.882542632968743,0.08661259541695823,-22.726552395961875,0.19612609216197155,-22.90324150770668,0.07332284165866755,0.13630547843201163,0.3023278994755892,-22.696913267278024,0.1420832027258374,-22.83677949401727,0.0759231119528911,-22.55812159090967,0.21754915092038368,-22.703543401283106,0.13873366983603652,0.15078306642501274,0.4936278599082648,1,1
-22.80901636525821,0.11945264122379252,-22.79237819947479,0.12973340045551163,-22.73518008244884,0.16640999541775844,-22.890587247547277,0.07145228441977243,0.22970782289793382,0.2670863820182638,-22.905798144030467,0.0823842133009845,-22.930518365357486,0.06460241835606889,-22.813864364737693,0.1525089628564968,-22.94437514682256,0.05482551915683959,0.09219820002626658,0.21465999282422396,-22.92136799669173,0.06717845596929103,-22.93868518087204,0.055553330743172355,-22.735184840793767,0.20574932802666926,-22.926705746630088,0.06357370740022376,0.08248081467056274,0.3091604046205314,-22.907999566049547,0.04571051193493766,-22.85883106824263,0.06643237314506645,-22.41942382845943,0.30474465648840565,-22.702958720432015,0.13928257689126441,0.13161651527426452,0.7056043036300943,0,1
-22.817915611914636,0.10261851557617648,-22.677904403423142,0.1847648998820629,-22.718984121721903,0.1594595894513383,-22.82245284671352,0.10014409050744813,0.3395643112674607,0.253615982262292,-22.862493000730737,0.10298602517539893,-22.902724791258194,0.0760402649887672,-22.768636693489224,0.1702266136836389,-22.89097126127744,0.08380056718145382,0.11449421951228363,0.2593414246962018,-22.88893888925044,0.07817055555523225,-22.864145890823167,0.09350670692597873,-22.657013404225896,0.23763940035455666,-22.918423540055063,0.06042041940851854,0.15763596307357777,0.3794534503543572,-22.846732399640977,0.06951196382798827,-22.83422918405306,0.07484498501214713,-22.383736521328494,0.3190985755580195,-22.692563182340756,0.14016630044363818,0.15134711397525857,0.7434659215462024,1,1
-22.840891929543183,0.11459832531327004,-22.91387285971007,0.06683380391923391,-22.82744385212213,0.12378653617078478,-22.844535296831886,0.11213024484719271,0.09883965197723314,0.19621009989184102,-22.90490337103138,0.0869965571815787,-22.947899071988783,0.05485804268936672,-22.863559018046907,0.11923162995237696,-22.930336438438662,0.06781908160331847,0.07368550043739233,0.16298985189593693,-22.909563158280903,0.07040800912805133,-22.963864764944095,0.03651036623683621,-22.673449267804397,0.24121131909642382,-22.885610004804356,0.0859558235686338,0.05558000211427872,0.39708699503494277,-22.82396616252174,0.09147672212960205,-22.93869640039337,0.03723778277141914,-22.532247412424358,0.26097199485467754,-22.69667763889064,0.15940197051246544,0.06552312899843069,0.5849410931631033,1,1
-22.640441971188608,0.20893173686380828,-22.727129652552026,0.15468696712028815,-22.80791366660949,0.1081988446688568,-22.88138040272126,0.0690614622179591,0.3013030010987818,0.18062676621252033,-22.807097666648758,0.14607020927136877,-22.89970306867023,0.08031567874732595,-22.840541751183846,0.1216178675377682,-22.9411325012525,0.05281338369914742,0.12352865933960058,0.17946187640961167,-22.767418294118595,0.1636052057923963,-22.881192603992986,0.08634916357681263,-22.786312552269766,0.15015920052306977,-22.94485849963758,0.04680307105083018,0.14353559994489076,0.23420906157102944,-22.84617163467127,0.07944915552538129,-22.792821954257477,0.10592148261657595,-22.56078401239761,0.23900148345121575,-22.736665564394087,0.13535512311107908,0.19651789750304377,0.46903695829807346,0,1
-22.69672679664059,0.2065881835300543,-22.943348116422715,0.0455854383186239,-22.904456377858878,0.06841404636010988,-22.820444982401906,0.12086443228464974,0.07003264232132252,0.11884907555629975,-22.599308058493595,0.2855061052902573,-22.961224246336965,0.035831396935510386,-22.94444747752586,0.04551788265259229,-22.866980280928477,0.09241477616369177,0.05695400979496827,0.07950093777554222,-22.646971681167933,0.24498282106938205,-22.96398627517894,0.03394011431364435,-22.85139398699073,0.10136532565626902,-22.87696173474604,0.08538131582370984,0.054990014069947926,0.17916543475614466,-22.84272036739541,0.09933115028229297,-22.93894941133027,0.04487310045687133,-22.772087416286002,0.14277413047551196,-22.732646314720984,0.1684013473943539,0.06771693478652013,0.2648238129033266,0,1
-22.826488459483844,0.1112901580926569,-22.900196148249258,0.06753884800176023,-22.768054456104235,0.14834129975010307,-22.760852111370724,0.15305977587673741,0.10272183304179379,0.2593507678986547,-22.899856695054773,0.08509589522790252,-22.932654179723894,0.061902296661451084,-22.85866714098649,0.11532268359333878,-22.87278201236336,0.10482402198779782,0.08381434589744935,0.1657786083979817,-22.921836162500906,0.06041420536310697,-22.936375253807693,0.051587090244951825,-22.73073606352841,0.18919563231705366,-22.785853423174686,0.1494944594238252,0.07362912748849063,0.3138994310135519,-22.910549641003097,0.03439702484573196,-22.90992760424562,0.034593557473380096,-22.45919890163714,0.2145690707774583,-22.363258111767237,0.26451565409816447,0.06336158068537022,0.6789119326804872,0,1
-22.766745205325893,0.11519853360874913,-22.68538709150791,0.15797522440972395,-22.602799286258293,0.20510835534423805,-22.732753992260502,0.13264825598700417,0.3025568098425592,0.37465378112294967,-22.848224243182525,0.10942567833827134,-22.88654679577336,0.08414604583177303,-22.794899225931026,0.14625326230649113,-22.853236712134333,0.10606385339520859,0.12577641486263316,0.22601509550926474,-22.82539290946617,0.1044965427096003,-22.861600870953506,0.08403935972201493,-22.613253678512528,0.2404470967553313,-22.81561730879659,0.11014784342185124,0.14466276267956252,0.43337510979655913,-22.796934043075872,0.10141124961674637,-22.765181210162922,0.11740185431125143,-22.602628041294338,0.20771077697193083,-22.69431001236674,0.1549777505492684,0.2137650899042413,0.4059755003513761,1,1
-22.571471194992224,0.2624447518940637,-22.845243369642116,0.0903163682669936,-22.860795435102983,0.08188157902372283,-22.83061756882112,0.09836938032301996,0.1628379738186888,0.14980535489521027,-22.849630070639815,0.11861498502254357,-22.935161503737543,0.058432303832467274,-22.832577834985493,0.13124127499038654,-22.909653327122044,0.07584518818142034,0.08451512798294177,0.19472869120518776,-22.80784143048141,0.12976225459820256,-22.875316412933575,0.08653809340752487,-22.748270086051104,0.1704244464989016,-22.876080667653444,0.08606502756850264,0.13985881061423758,0.275221583023092,-22.75905602944306,0.14238704399993557,-22.88916607915065,0.06820418822744422,-22.717125616587406,0.16842491551738814,-22.799911318508734,0.11804560037939406,0.11684626044015237,0.3154808205092527,1,1
-22.4686148957015,0.3073391711080591,-22.808938854696336,0.09981795996181578,-22.794940348677827,0.10703402951185596,-22.864594790603437,0.07210660588004449,0.20615981529740798,0.20909619820779335,-22.62082700318419,0.2491206605590166,-22.91827520112091,0.05666283057221771,-22.78953864141115,0.13299206319668616,-22.907963024984113,0.06242154916626316,0.10094513543293399,0.23938193547305114,-22.623726162888804,0.24244552331525987,-22.88395504449499,0.07467190743657463,-22.76961441355177,0.14304753857734373,-22.910555569412608,0.05985484061664433,0.1358545684801207,0.2534223595759312,-22.802386868313995,0.09927244610317262,-22.885594104161108,0.05969383592443217,-22.425494658878858,0.32618998115021985,-22.780902636613153,0.11003798591281075,0.11785733443965697,0.715096531050807,0,1
