bp_delta,bp_theta,bp_alpha,bp_beta,entropy,mi,coh_alpha,pac,label,subject
1.5449492414568806e-11,1.3155142079975252e-12,5.384042066992148e-12,2.2227066343452042e-13,3.967138321227357,0.4059134866553431,0.33831240636195153,-0.0036242189879244118,1,6
6.921413954244499e-12,1.1447587920259734e-12,5.0799914586505305e-12,2.2578696108384203e-13,3.8980464512685904,0.20405200460283082,0.35417301249331623,-0.01593008252623586,1,6
1.973860932155105e-11,2.3579156745616492e-12,6.0177772719095235e-12,3.2041360589013696e-13,3.8520305719244465,0.27160194381848846,0.3591551697884254,-0.028828369085182555,0,6
1.2952734594726088e-11,2.0661780967255927e-12,7.805366064297121e-12,3.9884705789383995e-13,3.7543863471933214,0.31458551315914196,0.3406618661893895,-0.010751278405827033,0,6
1.4898571070372856e-11,1.4196847311545127e-12,5.858645487103734e-12,3.628848578140174e-13,3.8343707674318432,0.3946524475678032,0.34421168854329154,-0.01586253669374282,0,6
8.066167152945204e-12,1.3550834651793255e-12,6.770325052216118e-12,2.611136875746838e-13,3.8737844421318175,0.2864506457604596,0.3434269417467998,-0.017243486139918246,1,6
9.800214933412033e-12,1.7883409136451192e-12,6.9483501428038785e-12,4.2112736819508807e-13,3.921167414628333,0.3154807563902593,0.278998329540137,-0.003286458397658777,1,6
2.3531774757972442e-12,1.6958010045683043e-12,7.49901182354799e-12,3.563930078805985e-13,3.989767712324705,0.1578946485439933,0.3046680784689551,-0.017254928968056235,1,6
1.1565367343970855e-11,2.4373045037271966e-12,7.30411376975479e-12,4.4228650680319973e-13,3.8653156977799656,0.2707972876495783,0.3210185379839345,-0.0003551096737186392,1,6
8.438652200896967e-12,1.7622210782742415e-12,7.80520213072359e-12,3.8252349680953744e-13,3.956382992572025,0.20971276306871553,0.3716898730471881,-0.015384486765882293,0,6
6.229447658664941e-12,2.429116358129771e-12,8.266538436224547e-12,3.715288622843819e-13,4.0054246539351235,0.21195233795398216,0.3690780103902769,-0.009633533454720867,1,6
7.161458202421248e-12,1.715855204629477e-12,7.137604075883449e-12,3.478054387552309e-13,3.968713914751941,0.2993599389127723,0.37170366185924486,-0.011190104081353918,1,6
4.796477834281482e-12,1.438244491680579e-12,6.016438261991209e-12,2.568426342945285e-13,3.975902933466327,0.17274459963777455,0.2611031041316582,-0.004975780885701197,1,6
6.1843651196124566e-12,1.3036588832599213e-12,6.1328257945661765e-12,3.378764374617478e-13,3.9298097254051925,0.16786107341598844,0.3420813632520524,-0.014892829034380255,0,6
2.8293552285306965e-12,2.093960743829657e-12,8.96559935323132e-12,5.82461360680831e-13,3.9614468379298415,0.20244940058242966,0.330008428770318,-0.01090260658641864,0,6
5.997675124813086e-12,2.2933707488198277e-12,9.038229855368518e-12,5.193253930838446e-13,3.954132005905226,0.18717936633041377,0.35974352852963243,-0.00177048398565802,1,6
9.570476955763975e-12,2.1934127903777783e-12,6.806596020306689e-12,4.727630774467674e-13,3.8439053115337396,0.2633843989586233,0.3098362915862407,-0.014359636021480288,1,6
6.282589257113295e-12,2.4890167598700846e-12,8.058960801704787e-12,3.7978488143783373e-13,3.9627331793258587,0.25388476915039526,0.333800884932668,-0.01241202651459793,1,6
5.61552342116426e-12,2.2676440847189737e-12,7.228813177537156e-12,3.3294330323626653e-13,3.9497870729833133,0.1723393771025367,0.4189046655126565,0.000626466928394611,1,6
4.302404598984029e-12,1.5800522043339068e-12,6.981261261216924e-12,3.1149536136050285e-13,3.9059933221698047,0.2947093166893387,0.27587485746595164,-0.013839928826316999,1,6
4.594374599048191e-12,1.6707329085140418e-12,8.269123773498328e-12,3.3881643716133364e-13,3.912700272194118,0.18010428153090172,0.2908331770015883,-0.009383387208841111,0,6
6.0589787258274154e-12,1.6287690551706414e-12,6.8033545770998645e-12,3.6366476591697175e-13,3.9320014813583066,0.2726397546580679,0.3199451425634773,-0.02027343798044727,0,6
4.314310572116934e-12,1.7666073771498777e-12,6.683014786091786e-12,3.4902372102419465e-13,3.9525026324533448,0.2107561675542224,0.2934358024471189,-0.01468008182044564,1,6
3.690105327152795e-12,1.759712171854298e-12,6.9470741607854515e-12,3.9780629975863924e-13,3.913257732263265,0.233167677892727,0.3184291151691085,-0.012591040795185636,1,6
5.432012866840075e-12,1.0890843402876438e-12,6.349236342680721e-12,3.160206932429048e-13,3.9212845050035545,0.16290246522266125,0.2873177281242594,-0.017247387373820006,1,6
2.748273895401153e-11,8.76230178324703e-13,4.101812317102666e-13,1.5184044411988536e-13,3.5042664538108506,0.49932724035452764,0.15448244636672503,0.013909142628365134,1,7
3.7284012038008726e-08,4.166279324460509e-09,1.3296702851535863e-09,3.5587807779031386e-10,1.3767836044634665,1.1300011321809107,0.8784649230839185,-0.0013171302996629617,1,7
5.1144532351872496e-12,5.870806879537274e-13,2.744290865690568e-13,1.3621333772377037e-13,3.674538323626846,0.45926613700153895,0.1636309949373025,-0.0037681483622773793,0,7
1.020776931182067e-11,6.756606143273106e-13,3.126497020296632e-13,1.5244732582987076e-13,3.431208778920271,0.476457354967628,0.20340600086007543,0.006495034682394107,0,7
2.4616214381198912e-11,1.1489336719401092e-12,4.0836141335727183e-13,1.6073432583893972e-13,3.784009084076758,0.5148765011296655,0.11435901067105972,0.009754025056680108,1,7
2.008595322185372e-11,1.321445767191486e-12,5.276246976682086e-13,1.9319549106932962e-13,3.779439356445618,0.599162795287913,0.10957159455435247,0.021670649659261805,1,7
